cattle no,live weight (kg),purchase price per kg,date,location,status
129,250,417.00,25/08/2024,,healthy
130,234,450.00,25/08/2024,,healthy
131,198,460.00,25/08/2024,,healthy
132,167,466.00,25/08/2024,,healthy
133,152,486.00,25/08/2024,,healthy
102,138,461.00,22/08/2024,Kushtia,healthy
103,178,502.00,22/08/2024,Kushtia,healthy
104,176,505.00,22/08/2024,Kushtia,healthy
105,185,482.00,22/08/2024,Kushtia,healthy
106,199,404.00,22/08/2024,Kushtia,healthy
107,179,465.00,22/08/2024,Kushtia,healthy
108,187,446.00,22/08/2024,Kushtia,healthy
109,179,459.00,22/08/2024,Kushtia,healthy
110,194,424.00,22/08/2024,Kushtia,healthy
111,195,464.00,22/08/2024,Kushtia,healthy
112,224,410.00,22/08/2024,Kushtia,healthy
113,164,512.00,22/08/2024,Kushtia,healthy
114,176,410.00,22/08/2024,Kushtia,healthy
115,139,487.00,22/08/2024,Kushtia,healthy
116,127,493.00,22/08/2024,Kushtia,healthy
117,138,476.00,22/08/2024,Kushtia,healthy
118,174,435.00,22/08/2024,Kushtia,healthy
119,164,455.00,22/08/2024,Kushtia,healthy
120,163,472.00,22/08/2024,Kushtia,healthy
121,158,474.00,22/08/2024,Kushtia,healthy
122,160,437.00,22/08/2024,Kushtia,healthy
123,126,544.00,22/08/2024,Kushtia,healthy
124,197,439.00,22/08/2024,Kushtia,healthy
125,228,416.00,22/08/2024,Kushtia,healthy
126,194,486.00,22/08/2024,Kushtia,healthy
127,206,439.00,22/08/2024,Kushtia,healthy
128,188,480.00,22/08/2024,Kushtia,healthy
97,234,514.00,18/08/2024,Manikganj,healthy
98,0,0,18/08/2024,Manikganj,dead
99,218,496.00,18/08/2024,Manikganj,healthy
100,230,570.00,18/08/2024,Manikganj,healthy
101,189,555.00,18/08/2024,Manikganj,healthy
97,234,411.00,18/08/2024,Manikganj,healthy
98,214,449.00,18/08/2024,Manikganj,healthy
99,218,377.00,18/08/2024,Manikganj,healthy
100,230,466.00,18/08/2024,Manikganj,healthy
101,189,428.00,18/08/2024,Manikganj,healthy
93,380,414.00,13/08/2024,Mirzapur, Tangail,healthy
94,280,452.00,13/08/2024,Mirzapur, Tangail,healthy
95,300,394.00,13/08/2024,Mirzapur, Tangail,healthy
96,238,397.00,13/08/2024,Mirzapur, Tangail,healthy
89,252,394.00,11/08/2024,Manikganj,healthy
90,293,391.00,11/08/2024,Manikganj,healthy
91,260,442.00,11/08/2024,Manikganj,healthy
92,262,438.00,11/08/2024,Manikganj,healthy
84,219,416.00,29/07/2024,Manikganj,healthy
85,210,455.00,29/07/2024,Manikganj,healthy
86,177,378.00,29/07/2024,Manikganj,healthy
87,162,412.00,29/07/2024,Manikganj,healthy
88,219,425.00,29/07/2024,Manikganj,healthy
60,164,475.00,15/07/2024,Naogoan,healthy
61,173,450.00,15/07/2024,Naogoan,healthy
62,170,468.00,15/07/2024,Naogoan,healthy
63,168,450.00,15/07/2024,Naogoan,healthy
64,153,493.00,15/07/2024,Naogoan,healthy
65,153,497.00,15/07/2024,Naogoan,healthy
66,170,450.00,15/07/2024,Naogoan,healthy
67,140,461.00,15/07/2024,Naogoan,healthy
68,145,446.00,15/07/2024,Naogoan,healthy
69,153,440.00,15/07/2024,Naogoan,healthy
70,168,408.00,15/07/2024,Naogoan,healthy
71,157,461.00,15/07/2024,Naogoan,healthy
72,163,451.00,15/07/2024,Naogoan,healthy
73,139,439.00,15/07/2024,Naogoan,healthy
74,129,480.00,15/07/2024,Naogoan,healthy
75,99,435.00,15/07/2024,Naogoan,healthy
76,130,450.00,15/07/2024,Naogoan,healthy
77,129,453.00,15/07/2024,Naogoan,healthy
78,192,458.00,15/07/2024,Naogoan,healthy
79,171,458.00,15/07/2024,Naogoan,healthy
80,148,435.00,15/07/2024,Naogoan,healthy
81,186,413.00,15/07/2024,Naogoan,healthy
82,242,372.00,15/07/2024,Naogoan,healthy
83,149,498.00,15/07/2024,Naogoan,healthy
56,323,403.00,14/07/2024,Mawin Gong,healthy
57,212,415.00,14/07/2024,Mawin Gong,healthy
58,209,392.00,14/07/2024,Mawin Gong,healthy
59,220,390.00,14/07/2024,Mawin Gong,healthy
35,262,494.00,06/07/2024,Kushtia,healthy
36,252,494.00,06/07/2024,Kushtia,healthy
37,282,461.00,06/07/2024,Kushtia,healthy
38,289,461.00,06/07/2024,Kushtia,healthy
39,305,460.00,06/07/2024,Kushtia,healthy
40,300,460.00,06/07/2024,Kushtia,healthy
41,298,460.00,06/07/2024,Kushtia,healthy
42,272,462.00,06/07/2024,Kushtia,healthy
43,255,487.00,06/07/2024,Kushtia,healthy
44,267,486.00,06/07/2024,Kushtia,healthy
45,260,487.00,06/07/2024,Kushtia,healthy
46,206,524.00,06/07/2024,Kushtia,healthy
47,254,519.00,06/07/2024,Kushtia,healthy
48,226,522.00,06/07/2024,Kushtia,healthy
49,212,523.00,06/07/2024,Kushtia,healthy
50,209,523.00,06/07/2024,Kushtia,healthy
51,255,519.00,06/07/2024,Kushtia,healthy
52,205,524.00,06/07/2024,Kushtia,healthy
53,220,522.00,06/07/2024,Kushtia,healthy
54,0,0,06/07/2024,Kushtia,dead
55,223,477.00,06/07/2024,Kushtia,healthy
